x,y
1,1.000000
2,0.500000
3,0.333333
4,0.250000
5,0.200000
6,0.166667
7,0.142857
8,0.125000
9,0.111111
10,0.100000
11,0.090909
12,0.083333
13,0.076923
14,0.071429
15,0.066667
16,0.062500
17,0.058824
18,0.055556
19,0.052632
20,0.050000
21,0.047619
22,0.045455
23,0.043478
24,0.041667
25,0.040000
26,0.038462
27,0.037037
28,0.035714
29,0.034483
30,0.033333
31,0.032258
32,0.031250
33,0.030303
34,0.029412
35,0.028571
36,0.027778
37,0.027027
38,0.026316
39,0.025641
40,0.025000
41,0.024390
42,0.023810
43,0.023256
44,0.022727
45,0.022222
46,0.021739
47,0.021277
48,0.020833
49,0.020408
50,0.020000
51,0.019608
52,0.019231
53,0.018868
54,0.018519
55,0.018182
56,0.017857
57,0.017544
58,0.017241
59,0.016949
60,0.016667
61,0.016393
62,0.016129
63,0.015873
64,0.015625
65,0.015385
66,0.015152
67,0.014925
68,0.014706
69,0.014493
70,0.014286
71,0.014085
72,0.013889
73,0.013699
74,0.013514
75,0.013333
76,0.013158
77,0.012987
78,0.012821
79,0.012658
80,0.012500
81,0.012346
82,0.012195
83,0.012048
84,0.011905
85,0.011765
86,0.011628
87,0.011494
88,0.011364
89,0.011236
90,0.011111
91,0.010989
92,0.010870
93,0.010753
94,0.010638
95,0.010526
96,0.010417
97,0.010309
98,0.010204
99,0.010101
100,0.010000
